ID,4Q,annotator,id
Q1_0vLPYiPN7qY_0,1,D,1
Q1_0vLPYiPN7qY_1,1,D,2
Q1_0vLPYiPN7qY_2,1,D,3
Q1_1Qc15G0ZHIg_1,1,D,4
Q1_1Qc15G0ZHIg_2,1,D,5
Q1_1Qc15G0ZHIg_3,1,D,6
Q1_1vjy9oMFa8c_2,1,D,7
Q1_1vjy9oMFa8c_4,1,D,8
Q1_1vjy9oMFa8c_5,1,D,9
Q1_2Z9SjI131jA_0,1,C,10
Q1_2Z9SjI131jA_1,1,C,11
Q1_2Z9SjI131jA_10,1,C,12
Q1_2Z9SjI131jA_11,1,C,13
Q1_2Z9SjI131jA_12,1,C,14
Q1_2Z9SjI131jA_13,1,C,15
Q1_2Z9SjI131jA_14,1,C,16
Q1_2Z9SjI131jA_15,1,C,17
Q1_2Z9SjI131jA_2,1,C,18
Q1_2Z9SjI131jA_3,1,C,19
Q1_2Z9SjI131jA_4,1,C,20
Q1_2Z9SjI131jA_7,1,C,21
Q1_2Z9SjI131jA_8,1,C,22
Q1_2Z9SjI131jA_9,1,C,23
Q1_3N2G21U7guk_3,1,D,24
Q1_3N2G21U7guk_5,1,D,25
Q1_3N2G21U7guk_6,1,D,26
Q1_3ahg_eQZhxs_0,1,D,27
Q1_3ahg_eQZhxs_1,1,D,28
Q1_4dXC1cC7crw_0,1,D,29
Q1_4dXC1cC7crw_1,1,D,30
Q1_4ydjOX3pWds_0,1,D,31
Q1_4ydjOX3pWds_1,1,D,32
Q1_5Ju9q1N2x0E_2,1,D,33
Q1_5NW0zDu6IYM_2,1,D,34
Q1_60LLKmpgzRM_0,1,D,35
Q1_6Uf9XBUD3wE_0,1,D,36
Q1_6Uf9XBUD3wE_1,1,D,37
Q1_6kRPHamGDSo_0,1,D,38
Q1_6kRPHamGDSo_1,1,D,39
Q1_6kRPHamGDSo_3,1,D,40
Q1_6wFJhmhNeeg_0,1,A,41
Q1_7yW9c7t8Hq0_1,1,D,42
Q1_7yW9c7t8Hq0_2,1,D,43
Q1_7yW9c7t8Hq0_3,1,D,44
Q1_8izVTDgBQPc_0,1,D,45
Q1_8izVTDgBQPc_1,1,D,46
Q1_8rupdevqfuI_0,1,D,47
Q1_8rupdevqfuI_1,1,D,48
Q1_8rupdevqfuI_2,1,D,49
Q1_94ROf10d1iA_0,1,D,50
Q1_94ROf10d1iA_1,1,D,51
Q1_94ROf10d1iA_2,1,D,52
Q1_94ROf10d1iA_3,1,D,53
Q1_9Yb9OEVwups_0,1,D,54
Q1_9v2WSpn4FCw_0,1,A,55
Q1_9v2WSpn4FCw_1,1,A,56
Q1_9v2WSpn4FCw_10,1,A,57
Q1_9v2WSpn4FCw_2,1,A,58
Q1_9v2WSpn4FCw_5,1,A,59
Q1_9v2WSpn4FCw_6,1,A,60
Q1_ANZf1QXsNrY_0,1,D,61
Q1_ANZf1QXsNrY_1,1,D,62
Q1_ANZf1QXsNrY_2,1,D,63
Q1_ANZf1QXsNrY_3,1,D,64
Q1_ANZf1QXsNrY_4,1,D,65
Q1_ANZf1QXsNrY_5,1,D,66
Q1_BGf5nCdzPOc_0,1,D,67
Q1_BGf5nCdzPOc_1,1,D,68
Q1_Cg2u_Ldjv8g_0,1,D,69
Q1_Cg2u_Ldjv8g_1,1,D,70
Q1_DX1IK3z1w10_1,1,A,71
Q1_Fc1qk52SaKY_0,1,D,72
Q1_Fc1qk52SaKY_1,1,D,73
Q1_FfwKrQyQ7WU_0,1,D,74
Q1_FfwKrQyQ7WU_1,1,D,75
Q1_FfwKrQyQ7WU_2,1,D,76
Q1_FfwKrQyQ7WU_3,1,D,77
Q1_GY3f6ckBVkA_0,1,D,78
Q1_GY3f6ckBVkA_1,1,D,79
Q1_GY3f6ckBVkA_2,1,D,80
Q1_GY3f6ckBVkA_3,1,D,81
Q1_GbUV3TXUzeQ_1,1,A,82
Q1_GbUV3TXUzeQ_2,1,A,83
Q1_HY9vPoHbgaI_0,1,D,84
Q1_HY9vPoHbgaI_1,1,D,85
Q1_HY9vPoHbgaI_2,1,D,86
Q1_HY9vPoHbgaI_3,1,D,87
Q1_IH2KrGjKXw0_3,1,D,88
Q1_Ie5koh4qvJc_12,1,D,89
Q1_Ie5koh4qvJc_6,1,D,90
Q1_J6X3rVU1H-c_1,1,D,91
Q1_J6X3rVU1H-c_2,1,D,92
Q1_JT1XJnVmABo_2,1,A,93
Q1_JT1XJnVmABo_3,1,A,94
Q1_JT1XJnVmABo_4,1,A,95
Q1_JT1XJnVmABo_5,1,A,96
Q1_JYVXM0qNQAg_0,1,D,97
Q1_JYVXM0qNQAg_2,1,D,98
Q1_Jn9r0avp0fY_0,1,D,99
Q1_Jn9r0avp0fY_1,1,D,100
Q1_Jn9r0avp0fY_2,1,D,101
Q1_Jn9r0avp0fY_3,1,D,102
Q1_K6OFDxBU370_0,1,D,103
Q1_K6OFDxBU370_1,1,D,104
Q1_KxlqB3j0zys_0,1,D,105
Q1_KxlqB3j0zys_1,1,D,106
Q1_NGE9ynTJABg_0,1,D,107
Q1_NGE9ynTJABg_1,1,D,108
Q1_NGE9ynTJABg_2,1,D,109
Q1_NP0lwB-_-og_1,1,D,110
Q1_POaIGvLsp5M_0,1,D,111
Q1_POaIGvLsp5M_1,1,D,112
Q1_PdwxeMPXOCk_0,1,C,113
Q1_PdwxeMPXOCk_1,1,C,114
Q1_PdwxeMPXOCk_2,1,C,115
Q1_QwsQ8ejbMKg_0,1,D,116
Q1_QwsQ8ejbMKg_1,1,D,117
Q1_RaUSISlnhKw_0,1,D,118
Q1_RaUSISlnhKw_1,1,D,119
Q1_RaUSISlnhKw_2,1,D,120
Q1_SQDuF0qxGQw_0,1,D,121
Q1_SQDuF0qxGQw_1,1,D,122
Q1_SQDuF0qxGQw_2,1,D,123
Q1_SlsXsqotUis_0,1,D,124
Q1_T92R7xjce34_1,1,A,125
Q1_TNoaOTrTkTQ_0,1,C,126
Q1_TNoaOTrTkTQ_1,1,C,127
Q1_TNoaOTrTkTQ_2,1,C,128
Q1_UJcnNfeCN1c_2,1,D,129
Q1_UJcnNfeCN1c_3,1,D,130
Q1_UOSlDydo94E_0,1,D,131
Q1_UOSlDydo94E_1,1,D,132
Q1_UOSlDydo94E_2,1,D,133
Q1_UYh88SRZC24_0,1,D,134
Q1_UYh88SRZC24_1,1,D,135
Q1_V3Y9L4UOcpk_2,1,D,136
Q1_VXgRfsVd_o0_0,1,D,137
Q1_VXgRfsVd_o0_1,1,D,138
Q1_VXgRfsVd_o0_2,1,D,139
Q1_WpZ1rWHOCAQ_0,1,D,140
Q1_WpZ1rWHOCAQ_1,1,D,141
Q1_WpZ1rWHOCAQ_2,1,D,142
Q1_Wy2-my19YnY_0,1,D,143
Q1_Wy2-my19YnY_1,1,D,144
Q1_XC_SiJszQx0_3,1,D,145
Q1_Xsn9zT-05ns_0,1,D,146
Q1_Xsn9zT-05ns_1,1,D,147
Q1_Y5JcZQ0xg4Y_0,1,D,148
Q1_Y5JcZQ0xg4Y_1,1,D,149
Q1_Y5JcZQ0xg4Y_2,1,D,150
Q1_Y5JcZQ0xg4Y_3,1,D,151
Q1_ZgT7yq2jsBk_0,1,D,152
Q1__8v0MFBZoco_0,1,D,153
Q1__8v0MFBZoco_1,1,D,154
Q1__BK2o77sTc0_0,1,D,155
Q1__BK2o77sTc0_1,1,D,156
Q1__SJQaaRzD-A_0,1,D,157
Q1__SJQaaRzD-A_1,1,D,158
Q1__kJtgm1OUNA_0,1,D,159
Q1__kJtgm1OUNA_1,1,D,160
Q1__kJtgm1OUNA_2,1,D,161
Q1_aYe-2Glruu4_0,1,D,162
Q1_aYe-2Glruu4_1,1,D,163
Q1_aYe-2Glruu4_3,1,D,164
Q1_aYe-2Glruu4_4,1,D,165
Q1_bIx4DwkZxFY_0,1,C,166
Q1_bIx4DwkZxFY_1,1,C,167
Q1_bIx4DwkZxFY_2,1,C,168
Q1_bQS8eAXAhyE_0,1,D,169
Q1_bQS8eAXAhyE_1,1,D,170
Q1_bQS8eAXAhyE_2,1,D,171
Q1_biROWEwkDQQ_3,1,D,172
Q1_cB-Xh8H_7-Q_0,1,D,173
Q1_dfNdpy8TUzA_0,1,D,174
Q1_dfNdpy8TUzA_1,1,D,175
Q1_dfNdpy8TUzA_2,1,D,176
Q1_doM_LWo-74A_0,1,D,177
Q1_doM_LWo-74A_1,1,D,178
Q1_doM_LWo-74A_2,1,D,179
Q1_doM_LWo-74A_3,1,D,180
Q1_doM_LWo-74A_4,1,D,181
Q1_e838BE_MH6s_1,1,D,182
Q1_e838BE_MH6s_2,1,D,183
Q1_e838BE_MH6s_3,1,D,184
Q1_e838BE_MH6s_4,1,D,185
Q1_e8NQ2NH0nc8_0,1,D,186
Q1_e8NQ2NH0nc8_1,1,D,187
Q1_eVMSeElk81Q_0,1,D,188
Q1_eVMSeElk81Q_1,1,D,189
Q1_eVMSeElk81Q_2,1,D,190
Q1_fey-8bOR95E_0,1,D,191
Q1_fey-8bOR95E_1,1,D,192
Q1_fey-8bOR95E_2,1,D,193
Q1_fey-8bOR95E_3,1,D,194
Q1_gSwv8hZGM-s_0,1,C,195
Q1_gSwv8hZGM-s_1,1,C,196
Q1_gwmVjvR-sVs_0,1,D,197
Q1_gwmVjvR-sVs_1,1,D,198
Q1_iFgSjUqI7iM_0,1,A,199
Q1_iFgSjUqI7iM_1,1,A,200
Q1_im4Qxn3GQvo_0,1,D,201
Q1_im4Qxn3GQvo_1,1,D,202
Q1_im4Qxn3GQvo_2,1,D,203
Q1_jziI_cuN_H8_0,1,D,204
Q1_jziI_cuN_H8_1,1,D,205
Q1_jziI_cuN_H8_2,1,D,206
Q1_k4dxAlI5N-k_0,1,D,207
Q1_k4dxAlI5N-k_1,1,D,208
Q1_ldCQ6N9G6Mk_2,1,A,209
Q1_mX-xs3OVhTs_0,1,D,210
Q1_mX-xs3OVhTs_1,1,D,211
Q1_miqLU2739dk_1,1,D,212
Q1_nOIBJHkqrE8_0,1,D,213
Q1_o5AIp2Yc01M_0,1,D,214
Q1_o5AIp2Yc01M_1,1,D,215
Q1_osxmQReE_2o_0,1,C,216
Q1_pNwQ9Tu_bCs_0,1,D,217
Q1_pNwQ9Tu_bCs_1,1,D,218
Q1_pNwQ9Tu_bCs_2,1,D,219
Q1_qlbazHayULg_8,1,D,220
Q1_r6laJv1-HMg_0,1,D,221
Q1_s5b8viFsVJE_0,1,D,222
Q1_s5b8viFsVJE_1,1,D,223
Q1_s5b8viFsVJE_2,1,D,224
Q1_s6-SbDSZzEU_0,1,D,225
Q1_s6-SbDSZzEU_1,1,D,226
Q1_sUJ4a74Skk8_0,1,D,227
Q1_sZe3IB1OVfw_0,1,D,228
Q1_sZe3IB1OVfw_1,1,D,229
Q1_uqRLEByE6pU_0,1,D,230
Q1_uqRLEByE6pU_1,1,D,231
Q1_uqRLEByE6pU_2,1,D,232
Q1_vv6nrZ2myXw_0,1,D,233
Q1_vv6nrZ2myXw_1,1,D,234
Q1_vv6nrZ2myXw_2,1,D,235
Q1_vv6nrZ2myXw_3,1,D,236
Q1_vv6nrZ2myXw_4,1,D,237
Q1_wnB2cjd6zbE_0,1,D,238
Q1_xrhWli_R98g_1,1,D,239
Q1_xrhWli_R98g_3,1,D,240
Q1_yFw_kO7DF-Y_0,1,D,241
Q1_yFw_kO7DF-Y_1,1,D,242
Q1_yFw_kO7DF-Y_2,1,D,243
Q1_zHwJG8Rrx6c_0,1,D,244
Q1_zHwJG8Rrx6c_1,1,D,245
Q1_zHwJG8Rrx6c_2,1,D,246
Q1_zHwJG8Rrx6c_3,1,D,247
Q1_zmZHNy9T8Pg_0,1,D,248
Q1_zmZHNy9T8Pg_1,1,D,249
Q1_zmZHNy9T8Pg_2,1,D,250
Q2_--2B4d4lQhs_0,2,D,251
Q2_--2B4d4lQhs_1,2,D,252
Q2_--2B4d4lQhs_2,2,D,253
Q2_-jJVb0xvbdg_0,2,A,254
Q2_-jJVb0xvbdg_1,2,A,255
Q2_08t73Qgjkt4_0,2,D,256
Q2_08t73Qgjkt4_1,2,D,257
Q2_08t73Qgjkt4_2,2,D,258
Q2_0H4rq0L9OSw_0,2,D,259
Q2_0H4rq0L9OSw_1,2,D,260
Q2_0J7lX-Tcx-w_0,2,D,261
Q2_0J7lX-Tcx-w_1,2,D,262
Q2_0J7lX-Tcx-w_2,2,D,263
Q2_0qYNvMCEwaw_0,2,D,264
Q2_0v2N1ROvEI0_0,2,D,265
Q2_0v2N1ROvEI0_1,2,D,266
Q2_16OaOpfOPZ0_2,2,D,267
Q2_16OaOpfOPZ0_3,2,D,268
Q2_1EDThWjNxOI_0,2,D,269
Q2_1EDThWjNxOI_1,2,D,270
Q2_1Q3MoBFh6eU_1,2,D,271
Q2_1TAKQK3s6qQ_0,2,B,272
Q2_1kny88W533Q_0,2,D,273
Q2_1kny88W533Q_2,2,D,274
Q2_1kny88W533Q_3,2,D,275
Q2_1kny88W533Q_4,2,D,276
Q2_2uLw9Zs60A4_0,2,A,277
Q2_38i12IPkL5c_0,2,A,278
Q2_38i12IPkL5c_1,2,A,279
Q2_38i12IPkL5c_2,2,A,280
Q2_3ZnxqCZ7qGg_1,2,D,281
Q2_3ZnxqCZ7qGg_2,2,D,282
Q2_3_MxhSS86oU_0,2,D,283
Q2_3_MxhSS86oU_1,2,D,284
Q2_48EYLEAgaBc_0,2,D,285
Q2_48EYLEAgaBc_1,2,D,286
Q2_5CEAeMiXKaA_0,2,B,287
Q2_5NW0zDu6IYM_0,2,D,288
Q2_5NW0zDu6IYM_1,2,D,289
Q2_61EA0xRX8gE_0,2,B,290
Q2_61EA0xRX8gE_1,2,B,291
Q2_61EA0xRX8gE_3,2,B,292
Q2_61EA0xRX8gE_4,2,B,293
Q2_61EA0xRX8gE_5,2,B,294
Q2_6n8HgIcJ6vo_0,2,A,295
Q2_78C_TpQDvVE_0,2,B,296
Q2_78C_TpQDvVE_1,2,B,297
Q2_7n32BtYb4d4_0,2,D,298
Q2_7n32BtYb4d4_1,2,D,299
Q2_7n32BtYb4d4_2,2,D,300
Q2_7n32BtYb4d4_3,2,D,301
Q2_8TYY0qG-KOw_1,2,A,302
Q2_8c7kcmsnf-s_0,2,D,303
Q2_8c7kcmsnf-s_1,2,D,304
Q2_8c7kcmsnf-s_2,2,D,305
Q2_9v2WSpn4FCw_1,2,D,306
Q2_9v2WSpn4FCw_2,2,D,307
Q2_9v2WSpn4FCw_3,2,D,308
Q2_9v2WSpn4FCw_4,2,D,309
Q2_9v2WSpn4FCw_5,2,D,310
Q2_9v2WSpn4FCw_6,2,D,311
Q2_9v2WSpn4FCw_7,2,D,312
Q2_9v2WSpn4FCw_8,2,D,313
Q2_ANZf1QXsNrY_6,2,D,314
Q2_ANZf1QXsNrY_7,2,D,315
Q2_AWNbcxXDmt0_0,2,A,316
Q2_AacIP9mDLw8_0,2,B,317
Q2_AacIP9mDLw8_2,2,B,318
Q2_BzqX-9TA-GY_1,2,B,319
Q2_BzqX-9TA-GY_2,2,B,320
Q2_CxFXrYgdSSI_0,2,B,321
Q2_CxFXrYgdSSI_1,2,B,322
Q2_CxFXrYgdSSI_2,2,B,323
Q2_D-gDPh9ZpFk_0,2,A,324
Q2_D-gDPh9ZpFk_1,2,A,325
Q2_D-gDPh9ZpFk_2,2,A,326
Q2_D5kyjnlDNZs_0,2,A,327
Q2_D5kyjnlDNZs_1,2,A,328
Q2_D5kyjnlDNZs_2,2,A,329
Q2_DYBBfpEx-JI_0,2,B,330
Q2_DYBBfpEx-JI_1,2,B,331
Q2_DYBBfpEx-JI_2,2,B,332
Q2_DYBBfpEx-JI_3,2,B,333
Q2_Dg935IbDggo_0,2,B,334
Q2_Dg935IbDggo_1,2,B,335
Q2_Dg935IbDggo_2,2,B,336
Q2_Dg935IbDggo_3,2,B,337
Q2_DhnX54kOW8U_0,2,D,338
Q2_EtAbPc20mn8_0,2,D,339
Q2_FUAK5TBaNY8_1,2,D,340
Q2_GwdQliEv6Z0_0,2,D,341
Q2_GwdQliEv6Z0_1,2,D,342
Q2_Ie5koh4qvJc_10,2,B,343
Q2_Ie5koh4qvJc_11,2,B,344
Q2_Ie5koh4qvJc_13,2,B,345
Q2_Ie5koh4qvJc_26,2,B,346
Q2_Ie5koh4qvJc_30,2,B,347
Q2_Ie5koh4qvJc_7,2,B,348
Q2_Ie5koh4qvJc_9,2,B,349
Q2_Iq6g_4AwUWs_0,2,D,350
Q2_Iq6g_4AwUWs_1,2,D,351
Q2_ItGNJM6skM4_1,2,B,352
Q2_ItGNJM6skM4_2,2,B,353
Q2_JMt4m608s3k_0,2,D,354
Q2_JMt4m608s3k_1,2,D,355
Q2_JMt4m608s3k_2,2,D,356
Q2_JT1XJnVmABo_6,2,D,357
Q2_JYVXM0qNQAg_1,2,D,358
Q2_Kk60F8a7-Jw_0,2,D,359
Q2_L3_TadjSQQ0_0,2,D,360
Q2_L3_TadjSQQ0_1,2,D,361
Q2_OCqMDeD6Fmc_0,2,B,362
Q2_OCqMDeD6Fmc_1,2,B,363
Q2_OCqMDeD6Fmc_2,2,B,364
Q2_OCqMDeD6Fmc_3,2,B,365
Q2_P-We4q3goKU_1,2,B,366
Q2_P-We4q3goKU_2,2,B,367
Q2_P-We4q3goKU_3,2,B,368
Q2_P-We4q3goKU_4,2,B,369
Q2_P-We4q3goKU_5,2,B,370
Q2_P-We4q3goKU_6,2,B,371
Q2_PZN7XLKzLDI_0,2,D,372
Q2_Q5b5unyP8BM_0,2,D,373
Q2_Q5b5unyP8BM_1,2,D,374
Q2_QmK_SND2jAw_0,2,B,375
Q2_QmK_SND2jAw_1,2,B,376
Q2_REq37pDAm3A_2,2,D,377
Q2_RiQMuhk_SuQ_1,2,B,378
Q2_RiQMuhk_SuQ_2,2,B,379
Q2_RiQMuhk_SuQ_3,2,B,380
Q2_S1T3UF1vhSk_1,2,D,381
Q2_S1T3UF1vhSk_2,2,D,382
Q2_S7Bo4-NCEDk_0,2,D,383
Q2_S7Bo4-NCEDk_1,2,D,384
Q2_S7Bo4-NCEDk_2,2,D,385
Q2_TcFVq0leii4_1,2,D,386
Q2_TcFVq0leii4_2,2,D,387
Q2_UAm0aWvzFI8_0,2,D,388
Q2_UAm0aWvzFI8_1,2,D,389
Q2_UE0y8MHqT-g_1,2,B,390
Q2_UE0y8MHqT-g_2,2,B,391
Q2_UJcnNfeCN1c_1,2,D,392
Q2_UTo7E0evQWw_0,2,D,393
Q2_Uu-oRTRT6uQ_0,2,D,394
Q2_Uu-oRTRT6uQ_1,2,D,395
Q2_Uu-oRTRT6uQ_2,2,D,396
Q2_WBxql6cuU7c_0,2,B,397
Q2_WQrPcuy50aA_0,2,B,398
Q2_WQrPcuy50aA_1,2,B,399
Q2_XC_SiJszQx0_1,2,D,400
Q2_XfA2KXodrOE_0,2,D,401
Q2_XfA2KXodrOE_1,2,D,402
Q2_ZTrEoB8T9YA_0,2,D,403
Q2_ZTrEoB8T9YA_1,2,D,404
Q2_ZTrEoB8T9YA_2,2,D,405
Q2_ZdyiXIlKe_Y_0,2,D,406
Q2_ZdyiXIlKe_Y_1,2,D,407
Q2__FVzelKlBFs_0,2,D,408
Q2__FVzelKlBFs_1,2,D,409
Q2__FVzelKlBFs_2,2,D,410
Q2__S991V8N-8s_1,2,D,411
Q2__vZOEQCYSaY_1,2,D,412
Q2_aYe-2Glruu4_2,2,D,413
Q2_b8HVQtIoBYU_0,2,B,414
Q2_b8HVQtIoBYU_1,2,B,415
Q2_bfopzItCYrE_1,2,A,416
Q2_cFWdWpyvwag_0,2,B,417
Q2_cFWdWpyvwag_1,2,B,418
Q2_cQp1BYDGcRo_0,2,D,419
Q2_cQp1BYDGcRo_1,2,D,420
Q2_cm6E860vDjY_0,2,B,421
Q2_cm6E860vDjY_1,2,B,422
Q2_cm6E860vDjY_2,2,B,423
Q2_dtS02mrDMsM_0,2,D,424
Q2_dtS02mrDMsM_1,2,D,425
Q2_dtS02mrDMsM_2,2,D,426
Q2_dtS02mrDMsM_3,2,D,427
Q2_dtS02mrDMsM_4,2,D,428
Q2_eGQUZ9FlUJ4_0,2,D,429
Q2_eGQUZ9FlUJ4_1,2,D,430
Q2_epX33OVpkmA_0,2,B,431
Q2_epX33OVpkmA_1,2,B,432
Q2_epX33OVpkmA_2,2,B,433
Q2_ezoAduuCkUs_0,2,B,434
Q2_f2BXXa7lPuE_0,2,D,435
Q2_f2BXXa7lPuE_1,2,D,436
Q2_f2BXXa7lPuE_2,2,D,437
Q2_f2BXXa7lPuE_3,2,D,438
Q2_fuCxYrru2S4_1,2,D,439
Q2_fuCxYrru2S4_2,2,D,440
Q2_gvWDOIiocuE_1,2,D,441
Q2_ijfxkQPAQdE_1,2,B,442
Q2_ijfxkQPAQdE_2,2,B,443
Q2_ivCNV47tsRw_0,2,D,444
Q2_ivCNV47tsRw_1,2,D,445
Q2_ivCNV47tsRw_2,2,D,446
Q2_ivCNV47tsRw_3,2,D,447
Q2_iwxwLEvqeD8_1,2,D,448
Q2_jIKX3ShvLxo_0,2,D,449
Q2_jIKX3ShvLxo_1,2,D,450
Q2_jIKX3ShvLxo_2,2,D,451
Q2_jO2zX6Ul8GM_0,2,B,452
Q2_jO2zX6Ul8GM_1,2,B,453
Q2_jTPXwbDtIpA_1,2,B,454
Q2_jTPXwbDtIpA_2,2,B,455
Q2_jrVXitpLGMk_0,2,D,456
Q2_jrVXitpLGMk_1,2,D,457
Q2_jrVXitpLGMk_2,2,D,458
Q2_k-FNDbK6Qhg_0,2,D,459
Q2_k-FNDbK6Qhg_2,2,D,460
Q2_k4lT-sXg3iI_0,2,D,461
Q2_k4lT-sXg3iI_1,2,D,462
Q2_k4lT-sXg3iI_2,2,D,463
Q2_kKFwiXKlhC8_0,2,B,464
Q2_kKFwiXKlhC8_1,2,B,465
Q2_l-4Kce3YxxQ_0,2,D,466
Q2_l-4Kce3YxxQ_1,2,D,467
Q2_l-4Kce3YxxQ_2,2,D,468
Q2_l-4Kce3YxxQ_3,2,D,469
Q2_l-4Kce3YxxQ_4,2,D,470
Q2_lFznCt5kvXM_0,2,D,471
Q2_lalnGhxT3PQ_0,2,D,472
Q2_lalnGhxT3PQ_1,2,D,473
Q2_miqLU2739dk_0,2,D,474
Q2_mlHheZbblT0_0,2,D,475
Q2_mlHheZbblT0_1,2,D,476
Q2_nOIBJHkqrE8_1,2,D,477
Q2_o20YCzej5_s_0,2,D,478
Q2_pouxqiySdI8_0,2,D,479
Q2_pouxqiySdI8_1,2,D,480
Q2_qlbazHayULg_0,2,B,481
Q2_qlbazHayULg_1,2,B,482
Q2_qlbazHayULg_10,2,B,483
Q2_qlbazHayULg_11,2,B,484
Q2_qlbazHayULg_12,2,B,485
Q2_qlbazHayULg_2,2,B,486
Q2_qlbazHayULg_4,2,B,487
Q2_qlbazHayULg_5,2,B,488
Q2_qlbazHayULg_6,2,B,489
Q2_qlbazHayULg_7,2,B,490
Q2_rEz0D3VohFA_1,2,D,491
Q2_rEz0D3VohFA_2,2,D,492
Q2_sEQf5lcnj_o_0,2,D,493
Q2_sEQf5lcnj_o_1,2,D,494
Q2_sEQf5lcnj_o_2,2,D,495
Q2_sEQf5lcnj_o_3,2,D,496
Q2_snfsc7pEzlk_0,2,D,497
Q2_snfsc7pEzlk_1,2,D,498
Q2_snfsc7pEzlk_2,2,D,499
Q2_ufRISSD28XA_0,2,D,500
Q2_ufRISSD28XA_1,2,D,501
Q2_wfXSdMsd4q8_5,2,D,502
Q2_x5ibvz38jOs_0,2,D,503
Q2_x5ibvz38jOs_1,2,D,504
Q2_yZGBxiNPu3k_0,2,B,505
Q2_yhIncZ_Ue4E_0,2,B,506
Q2_yhIncZ_Ue4E_1,2,B,507
Q2_yhIncZ_Ue4E_2,2,B,508
Q2_yrvKReuwVlY_0,2,B,509
Q2_yrvKReuwVlY_1,2,B,510
Q2_yrvKReuwVlY_2,2,B,511
Q2_yrvKReuwVlY_3,2,B,512
Q2_z5ewpQwGDNw_0,2,B,513
Q2_z5ewpQwGDNw_1,2,B,514
Q2_z5ewpQwGDNw_2,2,B,515
Q3_-vAz_HTFEXs_0,3,C,516
Q3_-vAz_HTFEXs_1,3,C,517
Q3_02t1bj7ZABY_0,3,C,518
Q3_02t1bj7ZABY_1,3,C,519
Q3_02t1bj7ZABY_2,3,C,520
Q3_0EWWyyV7RJA_0,3,C,521
Q3_0c2dTJTDUR4_0,3,C,522
Q3_0lEL_XHyhuU_0,3,C,523
Q3_0lEL_XHyhuU_1,3,C,524
Q3_0lEL_XHyhuU_2,3,C,525
Q3_0lEL_XHyhuU_3,3,C,526
Q3_0vLPYiPN7qY_3,3,C,527
Q3_0wRQRwnQiqY_0,3,C,528
Q3_16OaOpfOPZ0_0,3,C,529
Q3_16OaOpfOPZ0_1,3,C,530
Q3_1Q3MoBFh6eU_0,3,C,531
Q3_1Q3MoBFh6eU_2,3,C,532
Q3_1cgO42sh-ZY_0,3,C,533
Q3_1kny88W533Q_1,3,C,534
Q3_2eIsQtm4YNs_0,3,B,535
Q3_2eIsQtm4YNs_1,3,B,536
Q3_2v6gJi03LlA_0,3,C,537
Q3_2v6gJi03LlA_1,3,C,538
Q3_3ZnxqCZ7qGg_0,3,C,539
Q3_4Er-eFHSHA4_0,3,B,540
Q3_4Er-eFHSHA4_1,3,B,541
Q3_4Er-eFHSHA4_2,3,B,542
